Date,Open,High,Low,Close
10-February-2010,16042.18,16141.13,15892.01,15922.17,
11-February-2010,15928.28,16202.87,15928.28,16152.59,
15-February-2010,16186.90,16227.04,16011.82,16038.35,
16-February-2010,16042.18,16310.39,16021.29,16226.68,
17-February-2010,16228.91,16480.89,16228.91,16428.91,
18-February-2010,16421.20,16452.51,16287.17,16327.84,
19-February-2010,16256.53,16301.94,16074.58,16191.63,
22-February-2010,16191.32,16423.23,16191.32,16237.05,
23-February-2010,16213.14,16324.93,16178.91,16286.32,
24-February-2010,16218.68,16328.44,16187.44,16255.97,
25-February-2010,16264.10,16329.33,16167.13,16254.20,
26-February-2010,16255.33,16669.25,16249.67,16429.55,
2-March-2010,16438.45,16808.49,16438.45,16772.56,
3-March-2010,16778.29,17012.61,16778.29,17000.01,
4-March-2010,17013.68,17024.96,16888.05,16971.70,
5-March-2010,16988.29,17097.71,16936.12,16994.49,
8-March-2010,17034.92,17187.55,17034.92,17102.60,
9-March-2010,17089.22,17130.83,17031.21,17052.54,
10-March-2010,17072.94,17183.51,17027.92,17098.33,
11-March-2010,17087.63,17215.07,17054.28,17167.96,
12-March-2010,17176.02,17244.54,17126.93,17166.62,
15-March-2010,17166.97,17195.49,17061.14,17164.99,
16-March-2010,17169.84,17416.55,17150.06,17383.18,
17-March-2010,17389.47,17576.78,17389.47,17490.08,
18-March-2010,17492.81,17548.13,17417.61,17519.26,
19-March-2010,17531.47,17600.87,17502.14,17578.23,
22-March-2010,17481.96,17559.18,17337.38,17410.57,
23-March-2010,17422.51,17530.79,17356.64,17451.02,
25-March-2010,17458.51,17575.23,17383.21,17558.85,
26-March-2010,17558.85,17682.94,17558.85,17644.76,
29-March-2010,17639.18,17793.01,17639.18,17711.35,
30-March-2010,17703.67,17783.35,17558.22,17590.17,
31-March-2010,17602.39,17699.50,17488.55,17527.77,
1-April-2010,17555.04,17706.56,17555.04,17692.62,
5-April-2010,17693.66,17948.54,17693.66,17935.68,
6-April-2010,17940.32,17991.41,17898.00,17941.37,
7-April-2010,17915.60,18047.86,17878.31,17970.02,
8-April-2010,17950.56,17960.91,17679.34,17714.40,
9-April-2010,17715.16,17971.47,17715.16,17933.14,
12-April-2010,17874.16,17995.25,17816.19,17853.00,
13-April-2010,17831.38,17892.78,17736.09,17821.96,
